Box,Last Name,First Name,Series Title/Book Title,Series #,Book Title,
42,Berlyn,Michael,Crystal Phoenix,,,
42,Bernard,Christine,2nd Armada Ghost Book,,,
42,Bernard,Rafe,Army of the Undead,,,
42,Bester,Alfred,Starburst,,,
42,Bester,Alfred,Golem 100,,,
42,Bester,Alfred,The Dark Side of the Earth,,,
42,Bester,Alfred,The Stars My Destination,,,
42,Bester,Alfred,The Stars My Destination,,,
42,Bester,Alfred,Starburst,,,
42,Beynon,Jhon,Stowaway to Mars,,,
41,Biggers,Earl Derr,The Chinese Parrot,,,
41,Biggers,Earl Derr,Keeper of the Keys,,,
41,Biggers,Earl Derr,The House Without a Key,,,
41,Biggers,Earl Derr,Charlie Chan Carries On,,,
41,Biggers,Earl Derr,Behind That Curtain,,,
41,Biggers,Earl Derr,The House Without a Key,,,
41,Biggers,W. Watts,The Man Inside,,,
41,Biggle,Lloyd,The Light That Never Was,,,
41,Biggle,Lloyd,The Light That Never Was,,,
41,Biggle,Lloyd,The World Menders,,,
41,Biggle,Lloyd,The Metallic Muse,,,
41,Biggle,Lloyd,The Fury Out Of Time,,,
41,Biggle,Lloyd,All the Colors of Darkness,,,
41,Biggle,Lloyd,"The Still, Small Voice of Trumpets",,,
41,Binder,Eando,The Impossible World,,,
41,Binder,Eando,The Double Man,,,
41,Binder,Eando,Get Off My World,,,
41,Binder,Eando,Secret of the Red Spot,,,
41,Binder,Eando,Lords of Creation,,,
41,Binder,Eando,Menace of the Saucers,,,
41,Binder,Eando,"Anton York, Immortal",,,
41,Binder,Eando,Adam Link - Robot,,,
41,Binder,Eando,Puzzle of the Space Pyramids,,,
41,Binder,Eando,"Anton York, Immortal",,,
41,Binder,Eando,The Mind From Outer Space,,,
41,Binder,Eando,Night of the Saucers,,,
41,Binder,Eando,Five Steps to Tomorrow,,,
42,Bingham,John,Murder Plan Six,,,
42,Birmingham,John,Our Time is Now,,,
42,Bischoff,David,Star Fall,,,
41,Bishop,Michael,A Funeral for the Eyes of Fire,,,
41,Bishop,Michael,Transfigurations,,,
41,Bishop,Michael,Beneath the Shattered Moons,,,
42,Bisson,Terry,Wyrldmaker,,,
42,Bixby,Jerome,Space by the Tale,,,
42,Blackburn,John,Bury Him Darkly,,,
42,Blackstock,Lee,The Shadow of Murder,,,
41,Blake,Nicholas,End of Chapter,,,
41,Blake,Nicholas,The Smiler With The Knife,,,
41,Blake,Nicholas,The Beast Must Die,,,
41,Blake,Nicholas,The Corpse in the Snowman,,,
41,Blish,James,Thirteen O'Clock and Other Zero Hours,,,
41,Blish,James,ESPER,,,
41,Blish,James,ESPER,,,
41,Blish,James,"Earthman, Come Home",,,
41,Blish,James,Midsummer Century,,,
41,Blish,James,Midsummer Century,,,
41,Blish,James,Cities In Flight,,,
41,Blish,James,Midsummer Century,,,
41,Blish,James,Spock Must Die!,,,
41,Blish,James,Titans' Daughter,,,
41,Blish,James,So Close to Home,,,
41,Blish,James,The Duplicated Man,,,
41,Blish,James,"Earthman, Come Home",,,
41,Blish,James,Black Easter,,,
41,Blish,James,The Warriors of Day,,,
41,Blish,James,A Life For The Stars,,,
41,Blish,James,A Case of Conscience,,,
41,Blish,James,The Star Dwellers,,,
41,Blish,James,The Triumph of Time,,,
41,Blish,James,The Quincunx of Time,,,
41,Blish,James,A Torrent of Faces,,,
